region_city,plor_cd_range
경상북도 군위군,"716000,716701,716800~716804,716810~716813,716820~716823,716830~716833,716840~716843,716850~716852,716860~716863,716870~716873"
경상북도 김천시,"740000,740010,740020,740030,740040,740050,740060,740070,740080,740090,740100,740110,740120,740130,740140,740150,740160,740170,740180,740190,740200,740210,740600,740701~740708,740751~740770,740810~740813,740820~740823,740830~740833,740840~740842,740850~740853,740860~740863,740870~740873,740880~740882,740890~740892,740910~740913,740920~740924,740930~740933,740940~740943,740950~740953,740960~740962,740971~740983"
경상북도 문경시,"745000,745020,745030,745040,745050,745060,745120,745130,745140,745150,745220,745230,745240,745330,745340,745600,745701~745706,745800~745804,745810~745812,745820~745823,745830~745833,745840~745844,745850~745853,745860~745863,745870~745874,745881~745891,745900~745904"
경상북도 봉화군,"755000,755800~755806,755810~755813,755820~755824,755830~755833,755840~755847,755850~755853,755860~755864,755870~755874,755880~755886,755890~755893"
경상북도 상주시,"742000,742010,742020,742030,742040,742050,742060,742070,742080,742090,742100,742110,742120,742130,742140,742150,742160,742170,742180,742190,742200,742210,742220,742230,742240,742250,742260,742270,742280,742290,742300,742310,742320,742330,742340,742350,742360,742600,742701~742709,742711,742751~742759,742800~742804,742810~742813,742820~742823,742830~742833,742840~742844,742850~742853,742860~742863,742870~742873,742880~742882,742890~742893,742901~742906,742910~742913,742920~742924,742930~742933,742940~742942,742950~742954,742960~742963,742970~742972,742980~742983"
경상북도 성주군,"719000,719800~719804,719810~719814,719820~719823,719830~719834,719840~719844,719850~719853,719860~719863,719870~719872,719880~719883,719890~719894"
경상북도 안동시,"760000,760003,760010,760020,760030,760040,760050,760060,760070,760080,760090,760100,760110,760120,760130,760140,760150,760160,760170,760180,760190,760200,760210,760220,760230,760240,760250,760260,760270,760280,760290,760300,760310,760320,760330,760340,760350,760360,760370,760380,760390,760400,760410,760420,760600,760701~760709,760711~760714,760728,760749,760751~760759,760762~760764,760790,760799~760805,760810~760815,760820~760823,760830~760834,760840~760845,760850~760853,760860~760863,760870~760873,760880~760883,760890~760894,760901~760905,760910~760916,760920~760923,760930~760935,760940~760944"
경상북도 영덕군,"766000,766701~766706,766800~766805,766810~766815,766820~766824,766830~766834,766840~766843,766850~766853,766860~766864,766870~766873,766880~766882"
경상북도 영양군,"764000,764800~764806,764810~764813,764820~764823,764830~764833,764840~764844,764850~764854"
경상북도 영주시,"750000,750010~750012,750020~750022,750030,750040,750050~750053,750060,750070,750080,750090,750100,750110,750120,750130,750600,750701,750711~750712,750740,750751~750771,750800~750805,750810~750813,750820~750824,750830~750833,750840~750842,750850~750852,750860~750863,750870~750873,750880~750883,750890~750894,750901~750917"
경상북도 영천시,"770000,770010,770020,770030,770040,770050,770060,770070,770080,770090,770100,770110,770120,770130,770140,770150,770160,770170,770180,770190,770200,770210,770220,770230,770240,770250,770260,770270,770280,770290,770300,770600,770701~770705,770751~770762,770800~770805,770810~770814,770820~770823,770830~770833,770840~770846,770849~770853,770860~770864,770870~770873,770880~770884,770890~770894,770901~770906,770910~770913"
경상북도 예천군,"757000,757800~757807,757810~757813,757820~757823,757830~757833,757840~757844,757850~757853,757860~757863,757870~757872,757880~757883,757890~757893,757899,757910~757913,757920~757923"
경상북도 울릉군,"799000,799800~799805,799810~799813,799820~799823"
경상북도 울진군,"767000,767701,767800~767806,767810~767814,767830~767834,767840~767843,767850~767853,767860~767863,767870~767873,767880~767884,767890~767894,767900~767902"
경상북도 의성군,"769000,769700~769701,769800~769806,769810~769812,769820~769823,769830~769833,769840~769843,769850~769854,769860~769862,769870~769872,769880~769883,769890~769892,769910~769914,769920~769922,769930~769933,769940~769942,769950~769952,769960~769963,769970~769974,769980~769982"
경상북도 청도군,"714000,714701,714800~714807,714820~714822,714830~714833,714840~714843,714850~714853,714860~714864,714870~714873,714880~714883,714900~714903"
경상북도 청송군,"763000,763710~763711,763800~763804,763810~763817,763820~763824,763830~763834,763840~763844,763850~763853,763860~763864,763870~763874"
경상북도 칠곡군,"718000,718701~718704,718800~718807,718810~718814,718820~718824,718830~718833,718840~718845,718850~718852,718910~718913,718920~718923"
경상북도 포항시,"790000,790140,790150,790160,790190~790192,790230,790240,790300,790310,790320,790330,790340,790350,790360,790370,790380,790390,790400,790600,790701~790724,790727~790734,790751~790763,790784~790785,790790,790800~790805,790810~790812,790821~790842,790850~790855,790861~790863,790880~790885,790900~790910,790930~790934,791003,791010,791020,791030,791040,791050~791052,791060~791062,791070,791080,791090,791100,791110,791120,791130,791170~791172,791180,791200,791210,791220,791250,791260,791270,791280,791290,791600,791701~791716,791738,791751~791768,791771~791773,791776,791778~791780,791782~791787,791789,791792,791801~791824,791830~791832,791841~791849,791860~791863,791870~791873,791910~791915,791920~791923,791940~791950"
전라남도 강진군,"527000,527800~527806,527810~527813,527820~527823,527830~527833,527840~527842,527850~527853,527860~527863,527870~527872,527880~527885,527890~527892,527910~527912"
전라남도 고흥군,"548000,548701,548800~548805,548810~548814,548820~548822,548830~548834,548840~548843,548850~548854,548860~548863,548870~548873,548880~548884,548890~548895,548900~548913,548920~548924,548930~548936,548940~548944,548950~548952"
전라남도 곡성군,"516000,516800~516806,516810~516814,516820~516825,516830~516833,516840~516842,516850~516853,516860~516863,516910~516914,516920~516922,516930~516932,516940~516944"
전라남도 광양시,"545000,545010,545020,545030,545040,545050,545060,545070,545080,545090,545100,545600,545610,545701~545709,545711,545717,545720~545721,545723,545751~545787,545789,545800~545813,545820~545823,545825~545828,545830~545833,545840~545843,545850~545854,545860~545863,545870~545888,545893"
전라남도 구례군,"542000,542800~542806,542810~542812,542820~542822,542830~542835,542840~542843,542850~542853,542860~542863,542870~542873"
전라남도 나주시,"520000,520010,520020,520030,520040,520050,520060,520070,520080,520090,520100,520110,520120,520130,520140,520150,520160,520170,520180,520200,520210,520220,520230,520240,520250,520260,520270,520280,520290,520300,520310,520320,520330,520340,520600,520610,520620,520701,520710~520711,520713~520715,520751~520756,520810~520815,520820~520824,520830~520834,520840~520845,520850~520855,520860~520863,520870~520873,520880~520883,520890~520893,520910~520914,520920~520923,520930~520934,520940~520943,520951~520952"
전라남도 담양군,"517000,517800~517806,517810~517812,517820~517822,517830~517832,517840~517843,517850~517853,517860~517863,517870~517872,517880~517883,517890~517892,517910~517915,517920~517923"
전라남도 목포시,"530000,530010,530020,530030,530040,530050,530060~530063,530070~530073,530080~530084,530090~530092,530100~530102,530110~530112,530120,530130,530140,530150~530152,530160~530162,530170~530172,530180~530183,530190~530193,530200~530203,530210,530220,530230,530240,530250~530252,530260,530270,530280,530290,530300,530310,530320,530330,530340,530350~530353,530360~530362,530370,530380,530390,530400,530410,530420,530430,530440,530450,530460,530470,530480,530490,530500,530510,530600,530701~530711,530716~530718,530728~530730,530734~530735,530741~530743,530748,530751~530779,530800~530846"
전라남도 무안군,"534000,534700~534703,534729,534800~534804,534810~534814,534820~534823,534830~534834,534840~534844,534850~534853,534860~534863,534870~534875,534900~534904"
전라남도 보성군,"546000,546700~546701,546800~546806,546810~546812,546820~546822,546830~546833,546840~546843,546850~546853,546860~546863,546870~546874,546880~546882,546900~546914,546920~546924"
전라남도 순천시,"540000,540003,540010,540020,540030,540040,540050,540060,540070,540080,540090,540100,540110,540120,540130,540140,540150,540160,540170,540180,540190,540200,540210,540220,540230,540240,540250,540260,540270,540280,540290,540300,540310,540320~540322,540330,540600,540701~540702,540704~540706,540708~540748,540750~540793,540795~540804,540807~540808,540810~540815,540819~540825,540830~540832,540840~540844,540850~540856,540860~540863,540870~540874,540910~540913,540920~540922,540930~540933,540941~540972,540975~540979"
전라남도 신안군,"530145,530847~530848,535000,535800~535807,535810~535817,535820~535824,535830~535838,535840~535847,535850~535852,535860~535863,535870~535873,535880~535885,535890~535898,535910~535926,535930~535936,535940~535943"
전라남도 여수시,"550000,550010,550020,550030,550040,550050,550060,550070,550080,550090,550100,550110,550120,550130,550140,550150,550160,550170,550180,550190,550200,550210,550220,550230,550240,550250,550260,550270,550600,550702,550704~550706,550728,550749,550751~550787,550800~550819,550831~550833,555010,555020,555030,555040,555050,555060,555070,555080,555090,555100,555110,555120,555130,555200,555210,555220,555230,555240,555250,555260,555270,555280,555290,555300,555701~555719,555750~555752,555800~555809,556810~556814,556820~556825,556830~556856,556890~556897,556900~556906"
전라남도 영광군,"513000,513700,513800~513808,513810~513812,513820~513822,513830~513832,513840~513843,513850~513853,513860~513865,513870~513874,513880~513886,513890~513893,513900~513905"
전라남도 영암군,"526000,526003,526701~526705,526751,526756,526800~526806,526810~526816,526820~526823,526830~526834,526840~526844,526850~526854,526860~526862,526870~526874,526880~526883,526890~526898,526910~526913"
전라남도 완도군,"527913,536928~536929,536935,537000,537800~537818,537820~537826,537830~537836,537840~537853,537860~537864,537870~537874,537880~537883,537900~537907,537909~537914,537920~537922,537925~537926,548990~548994"
전라남도 장성군,"515000,515751,515799~515806,515810~515813,515820~515824,515830~515832,515840~515845,515850~515854,515860~515864,515870~515874,515880~515883,515890~515895,515910~515913"
전라남도 장흥군,"529000,529800~529807,529810~529812,529820~529823,529830~529833,529840~529842,529850~529853,529860~529863,529870~529875,529880~529883,529900~529903"
전라남도 진도군,"539000,539800~539806,539810~539814,539820~539823,539830~539835,539840~539844,539850~539855,539910~539919"
전라남도 함평군,"525000,525800~525805,525810~525814,525820~525823,525830~525833,525840~525843,525850~525852,525860~525863,525870~525873,525880~525884"
전라남도 해남군,"536000,536800~536813,536820~536824,536830~536833,536840~536843,536850~536854,536860~536865,536870~536874,536880~536885,536890~536894,536910~536912,536920~536926,536930~536934,536940~536943"
전라남도 화순군,"519000,519751~519758,519760,519800~519813,519820~519823,519830~519833,519840~519842,519850~519853,519860~519863,519870~519873,519880~519883,519890~519893,519910~519913,519920~519923,519930~519933"
전라북도 고창군,"579894,585000,585700,585711~585713,585800~585813,585820~585824,585830~585833,585840~585843,585850~585853,585860~585864,585870~585874,585880~585883,585890~585894,585910~585914,585920~585924,585930~585934,585940~585944"
전라북도 군산시,"573000,573010,573020,573030,573041~573043,573050,573060,573070,573080,573090,573100,573110,573120,573130,573140,573150,573160,573170,573180,573190,573200,573210,573220,573230,573240,573250,573260,573270,573280,573290,573300,573310,573320,573330,573340,573350~573353,573360,573370,573380,573390,573400,573410,573420,573430,573440,573450,573500,573510,573520,573530,573540,573600,573701~573704,573706~573709,573711~573719,573729~573731,573733~573749,573751~573799,573802~573803,573810~573823,573830~573833,573840~573843,573850~573853,573860~573885,573888,573891~573892,573900~573903,573910~573914,573920~573923,573930~573933,573940~573943,573950~573952"
전라북도 김제시,"576000,576010,576020,576030,576040,576050,576060,576070,576080,576090,576100,576110,576120,576130,576140,576150,576160,576170,576180,576190,576200,576210,576220,576300,576310,576320,576330,576340,576350,576360,576370,576600,576701~576704,576710~576711,576800~576807,576820~576822,576830~576833,576840~576843,576850~576853,576860~576864,576870~576874,576880~576884,576890~576893,576910~576914,576920~576924,576930~576933,576940~576944,576950~576953,576960~576964,576970~576974"
전라북도 남원시,"590000,590010,590020,590030,590040,590050,590060,590070,590080,590090,590100,590110,590120,590130,590140,590150,590160,590170,590180,590190,590200,590210,590220,590230,590600,590701~590704,590711,590751~590763,590810~590812,590820~590823,590830~590835,590840~590843,590850~590853,590860~590863,590870~590872,590880~590883,590890~590892,590910~590912,590920~590922,590930~590933,590940~590942,590950~590953,590960~590963,590970~590972,590980~590990"
전라북도 무주군,"568000,568701,568800~568806,568810~568816,568820~568823,568830~568834,568840~568845,568850~568852"
전라북도 부안군,"579000,579700~579703,579800~579807,579810~579814,579820~579824,579830~579833,579840~579843,579850~579856,579860~579863,579870~579873,579880~579883,579890~579893,579910~579915,579920~579923,579930~579934"
전라북도 순창군,"595000,595800~595805,595810~595812,595820~595823,595830~595832,595840~595842,595850~595852,595860~595862,595870~595873,595880~595883,595890~595893,595910~595912"
전라북도 완주군,"565000,565003,565701~565705,565800~565806,565810~565814,565820~565824,565830~565833,565840~565845,565850~565854,565860~565864,565870~565872,565880~565883,565890~565892,565900~565907,565909~565913,565920"
전라북도 익산시,"570000,570010,570020~570022,570030,570040,570050~570052,570060,570070,570080,570090~570092,570100,570110,570120~570123,570130,570140,570150,570160,570170,570180,570190,570200,570210,570300,570310,570320,570330,570340,570350,570360,570370,570380,570390,570600~570601,570701~570705,570710~570711,570721~570726,570728~570729,570731~570735,570738~570746,570749~570778,570780,570800~570806,570810~570814,570820~570823,570830~570832,570840~570843,570850~570853,570860~570863,570870~570872,570880~570883,570890~570894,570910~570914,570920~570924,570930~570934,570940~570946,570950~570998"
전라북도 임실군,"566000,566700,566800~566806,566810~566813,566820~566823,566830~566832,566840~566845,566850~566852,566860~566863,566870~566872,566880~566882,566890~566895,566910~566913,566920~566922"
전라북도 장수군,"597000,597800~597805,597810~597814,597820~597823,597830~597832,597840~597843,597850~597853,597860~597862"
전라북도 전주시,"560000,560011~560014,560020~560023,560031~560033,560040,560043,560051~560054,560060,560070,560080,560090,560100~560102,560110,560120,560130,560140,560151~560152,560170,560241~560243,560251~560252,560260,560270,560281~560283,560285,560287,560291~560293,560295,560297,560500,560510,560600,560700~560799,560802~560813,560815~560830,560832~560889,560891~560896,560898~560899,560912~560915,560921~560928,561090,561160~561162,561180~561182,561191~561192,561201~561204,561211~561213,561221~561223,561225,561227,561230~561232,561301~561302,561311~561312,561320,561330,561340,561350,561360,561370,561380,561390,561400,561410,561420,561430,561440,561450,561600,561700~561844,561849~561854,561856~561858,561870~561872"
전라북도 정읍시,"580000,580010,580020,580030,580040,580050,580060~580063,580070,580080,580090,580100,580110,580120,580130,580140,580150,580160,580170,580180,580185,580190,580200,580210,580220,580230,580240,580300,580310,580600,580701,580712,580751~580756,580758~580759,580800~580807,580810~580814,580820~580823,580830~580833,580840~580844,580850~580853,580860~580864,580870~580873,580880~580884,580890~580893,580900~580905,580910~580913,580920~580924,580930~580933,580940~580943,580950~580953"
전라북도 진안군,"567000,567800~567807,567810~567813,567820~567823,567830~567833,567840~567842,567850~567852,567860~567862,567870~567872,567880~567883,567890~567893,567910~567913"
제주특별자치도 남제주군,"699800~699805,699810~699814,699820~699823,699830~699835"
제주특별자치도 북제주군,"695750~695754,695800~695805,695810~695814,695820,695830~695835,695840~695844,695850~695852"
제주특별자치도 서귀포시,"697010~697014,697020,697030,697040,697050,697060,697070,697080,697090,697100,697110,697120,697130,697301,697310,697320,697330,697340,697350,697360,697370,697380,697390,697600,697700~697705,697800~697825,699701,699900~699905,699910~699915,699920~699923,699930~699937,699940~699945"
제주특별자치도 제주시,"690003,690010~690012,690020~690022,690029~690032,690040~690043,690050,690060~690062,690070~690073,690080~690082,690090,690100,690110,690120~690122,690130,690140,690150,690160~690163,690170,690180,690190~690192,690200,690210,690220,690230~690232,690240~690242,690600,690610,690700~690744,690750~690751,690755~690756,690760,690762,690764~690766,690769~690784,690789~690790,690800~690842,690846,690850,695791~695795,695900~695909,695911~695918,695920~695929,695931~695934,695940~695952,695960~695966,695970~695976,695980"
제주특별자치도도 서귀포시,"697000,699000"
제주특별자치도도 제주시,"690000,695000"
충청남도 계룡시,"321000,321003,321701,321754~321765,321900,321910~321912,321914~321917,321920,321923~321926,321929~321935"
충청남도 공주시,"314000,314010,314020,314030,314040,314050,314060,314070,314080,314090,314100,314110,314120,314130,314140,314150,314160,314170,314180,314190,314200,314210,314220,314230,314240,314600,314701~314702,314711~314717,314751~314759,314800~314805,314810~314814,314820~314825,314830~314835,314840~314844,314850~314854,314860~314865,314870~314874,314880~314883,314890~314896,314910~314914,314920~314924,314929"
충청남도 금산군,"312000,312700~312706,312800~312807,312820~312824,312830~312833,312840~312844,312850~312854,312890~312894,312910~312913,312920~312924,312930~312933,312940~312944"
충청남도 논산시,"320000,320003,320010,320020,320030,320040,320050,320060,320070,320080,320090,320110,320120,320600,320701~320702,320711,320751~320759,320800~320804,320810~320812,320820~320823,320830~320844,320850~320854,320860~320863,320870~320875,320880~320883,320900~320905,320910~320917,320920~320923,320930~320933,320940~320944,320950~320954"
충청남도 당진시,"343000,343711,343751~343757,343800~343816,343820~343827,343830~343835,343840~343845,343850~343856,343860~343863,343870~343873,343880~343884,343890~343895,343900~343907,343910~343914"
충청남도 보령시,"355000,355010~355012,355020,355030,355040,355050,355060,355070,355080,355090,355110,355120,355130,355140,355150,355600,355701~355705,355751~355773,355800,355810~355814,355820~355823,355830~355832,355840~355855,355860~355863,355870~355873,355880~355884,355890~355894,355910~355912,355920~355923,355930~355944"
충청남도 부여군,"323000,323700~323701,323751~323753,323800~323816,323820~323824,323830~323832,323840~323843,323850~323852,323860~323862,323870~323872,323880~323882,323890~323893,323910~323913,323920~323923,323930~323933,323940~323943,323950~323953,323960~323962"
충청남도 서산시,"356000,356010,356020,356030,356040,356050,356060,356070,356080,356090,356100,356110,356120,356130,356140,356600~356601,356701~356707,356711~356715,356751~356776,356800~356807,356810~356815,356820~356826,356828,356830~356835,356840~356844,356850~356853,356860~356863,356870~356878,356880~356883,356890~356895,356980~356984"
충청남도 서천군,"325000,325701,325800~325806,325810~325815,325820~325823,325830~325832,325840~325844,325850~325853,325860~325862,325870~325872,325880~325884,325890~325894,325900~325908,325910~325912,325920~325922"
충청남도 아산시,"336000,336010~336012,336020,336030,336040,336050,336060,336070,336080,336090,336110,336120,336130,336140,336150,336160,336170,336180,336190,336210,336600,336700~336712,336714,336716~336719,336721~336724,336729~336732,336737,336745,336750~336790,336792~336793,336795,336797,336799,336810~336814,336820~336824,336830~336834,336840~336844,336850~336858,336860~336865,336870~336875,336880~336885,336890~336893,336910~336914,336920~336923"
충청남도 연기군,"339700~339703,339705,339751~339752,339755~339761,339800~339807,339810~339814,339819~339824,339830~339835,339840~339843,339850~339854,339860~339863,339870~339872,339881~339887"
충청남도 예산군,"340000,340701~340702,340751~340755,340800~340813,340820~340823,340830~340832,340840~340843,340850~340854,340860~340864,340900~340905,340910~340915,340920~340924,340930~340935,340940~340943"
충청남도 천안시,"330000,330003,330010,330020,330030,330040,330050,330060,330070~330072,330080,330090~330093,330100,330110,330120,330130,330140,330150,330160,330170~330172,330180,330190,330200,330210,330220,330230,330240,330250~330252,330260,330270,330280,330290,330300,330600,330700~330722,330725,330727~330730,330733,330741~330786,330788~330797,330800~330817,330820~330827,330830~330836,330838,330840~330847,330849~330854,330860~330863,330868~330873,330875,330880~330882,330890~330893,330910~330913,330920~330923,330930~330955,331003,331090~331093,331120,331170~331172,331200,331210,331220,331230,331240,331280,331290,331300,331700~331703,331706~331707,331709,331717~331718,331722~331724,331726,331731~331732,331734~331740,331747~331765,331776~331792,331796,331798~331805,331807~331808,331810~331837,331839,331855~331858,331864~331866,331932~331937,331945~331950,331955~331964"
충청남도 청양군,"345000,345701~345702,345800~345805,345810~345814,345820~345823,345830~345833,345840~345842,345850~345853,345860~345862,345870~345872,345880~345882,345890~345893"
충청남도 태안군,"357000,357701,357711~357712,357900~357908,357910~357914,357920~357923,357930~357935,357940~357945,357950~357954,357960~357966,357970~357972"
충청남도 홍성군,"350000,350701~350704,350751~350756,350800~350814,350820~350824,350830~350834,350840~350844,350850~350854,350860~350864,350870~350873,350880~350883,350890~350894,350900~350907"
충청북도 괴산군,"367000,367701,367800~367805,367810~367812,367820~367823,367830~367834,367840~367847,367850~367852,367860~367863,367870~367872,367880~367883,367890~367893,367900~367908,367910~367913,367920~367922"
충청북도 단양군,"395000,395800~395806,395810~395813,395820~395823,395830~395837,395840~395843,395850~395853,395860~395863,395900~395905"
충청북도 보은군,"376000,376701,376800~376807,376810~376812,376820~376823,376830~376832,376840~376842,376850~376853,376860~376864,376870~376873,376880~376882,376890~376893,376910~376912"
충청북도 영동군,"370000,370701~370702,370800~370813,370820~370823,370830~370832,370840~370842,370850~370854,370860~370864,370870~370872,370880~370883,370890~370893,370910~370914"
충청북도 옥천군,"373000,373800~373813,373820~373822,373830~373833,373840~373843,373850~373853,373860~373864,373870~373874,373880~373883"
충청북도 음성군,"369000,369700~369703,369711,369751~369755,369800~369807,369810~369812,369820~369824,369830~369834,369840~369843,369850~369854,369860~369863,369870~369873,369900~369906"
충청북도 제천시,"390000,390011~390012,390020,390030,390040,390050,390060,390070,390080,390090,390100,390110,390120,390130,390140,390150,390160,390170,390180,390190,390200,390210,390220,390230,390240,390250,390260,390270,390280,390290,390600,390701~390705,390711,390751~390776,390810~390814,390820~390824,390830~390832,390840~390843,390850~390853,390860~390862,390870~390875,390880~390883,390890~390899"
충청북도 증평군,"368000,368701~368703,368810~368812,368900~368910"
충청북도 진천군,"365000,365700~365701,365800~365808,365810~365812,365820~365824,365830~365834,365840~365843,365850~365853,365860~365863"
충청북도 청원군,"363000,363781~363783,363789,363791~363797,363810~363813,363820~363823,363830~363834,363840~363844,363849~363853,363860~363862,363870~363874,363880~363886,363890~363894,363910~363914,363920~363923,363930~363935,363939~363944,363950~363955"
충청북도 청주시,"360000,360011~360013,360020,360030,360041~360042,360050,360060,360070,360081~360082,360090,360100~360102,360112,360120,360130,360170~360172,360181~360183,360185~360188,360190~360192,360200,360210,360215,360220,360225~360227,360560,360565~360568,360600,360700~360707,360712~360717,360728,360730~360737,360760,360764~360782,360784~360791,360793,360800~360826,361003,361100~361102,361110~361111,361140,361150~361152,361160,361201~361202,361205~361206,361230,361240,361250,361260,361270~361272,361280,361290,361300~361302,361310,361320,361330,361340,361350,361360,361370,361380~361382,361390,361400,361410,361420,361430,361440,361450,361460,361470,361480,361490,361500,361510,361520,361530,361540,361550,361600,361700~361867,367702~367704"
충청북도 충주시,"380000,380010,380020,380030,380040,380050,380060~380062,380070,380080,380090,380100,380110,380120,380130,380140,380150,380160,380170,380180,380190,380200,380210,380220,380230,380240,380250,380260,380600,380700~380708,380751~380757,380759~380763,380765~380774,380776~380781,380810~380814,380820~380823,380829~380833,380840~380844,380850~380852,380860~380865,380870~380874,380880~380884,380890~380893,380910~380913,380920~380922,380930~380933,380940~380943,380950~380967"
